Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84



Header	Name	Start Time	Elapsed Time	Length	Average Speed	Link

Track	Пушкино - Кимры	09/10/2005 11:17:01 	4:59:15	306 km	61 kph

Header	Position	Time	Altitude	Depth	Temperature	Leg Length	Leg Time	Leg Speed	Leg Course
Trackpoint	N56 18.985 E37 39.139	09/10/2005 12:02:07 	206 m			636 m	0:00:21	109 kph	266° true
Trackpoint	N56 18.980 E37 38.727	09/10/2005 12:02:22 	217 m			424 m	0:00:15	102 kph	269° true
Trackpoint	N56 18.972 E37 38.114	09/10/2005 12:02:44 	236 m			631 m	0:00:22	103 kph	269° true
Trackpoint	N56 18.997 E37 37.917	09/10/2005 12:02:52 	238 m			208 m	0:00:08	94 kph	283° true
Trackpoint	N56 19.033 E37 37.836	09/10/2005 12:02:56 	237 m			107 m	0:00:04	96 kph	309° true
Trackpoint	N56 19.160 E37 37.612	09/10/2005 12:03:08 	240 m			329 m	0:00:12	99 kph	316° true
Trackpoint	N56 19.256 E37 37.290	09/10/2005 12:03:21 	236 m			376 m	0:00:13	104 kph	298° true
Trackpoint	N56 19.326 E37 36.811	09/10/2005 12:03:38 	240 m			509 m	0:00:17	108 kph	285° true
Trackpoint	N56 19.392 E37 36.540	09/10/2005 12:03:48 	243 m			305 m	0:00:10	110 kph	294° true
Trackpoint	N56 19.562 E37 35.887	09/10/2005 12:04:11 	246 m			743 m	0:00:23	116 kph	295° true
Trackpoint	N56 19.628 E37 35.357	09/10/2005 12:04:28 	222 m			559 m	0:00:17	118 kph	283° true
Trackpoint	N56 19.636 E37 35.110	09/10/2005 12:04:37 	215 m			254 m	0:00:09	101 kph	273° true
Trackpoint	N56 19.660 E37 34.832	09/10/2005 12:04:47 	196 m			290 m	0:00:10	105 kph	279° true
Trackpoint	N56 19.736 E37 34.655	09/10/2005 12:04:54 	186 m			230 m	0:00:07	118 kph	307° true
Trackpoint	N56 19.938 E37 34.327	09/10/2005 12:05:09 	188 m			505 m	0:00:15	121 kph	318° true
Trackpoint	N56 19.948 E37 34.306	09/10/2005 12:05:10 	187 m			29 m	0:00:01	103 kph	311° true
Trackpoint	N56 19.972 E37 34.212	09/10/2005 12:05:14 	184 m			107 m	0:00:04	96 kph	295° true
Trackpoint	N56 20.019 E37 33.816	09/10/2005 12:05:31 	175 m			416 m	0:00:17	88 kph	282° true
Trackpoint	N56 20.063 E37 33.631	09/10/2005 12:05:41 	167 m			207 m	0:00:10	74 kph	293° true
Trackpoint	N56 20.163 E37 33.391	09/10/2005 12:06:01 	146 m			309 m	0:00:20	56 kph	307° true
Trackpoint	N56 20.227 E37 33.242	09/10/2005 12:06:22 	142 m			194 m	0:00:21	33 kph	308° true
Trackpoint	N56 20.273 E37 33.133	09/10/2005 12:06:32 	141 m			141 m	0:00:10	51 kph	307° true
Trackpoint	N56 20.387 E37 32.863	09/10/2005 12:07:04 	139 m			350 m	0:00:32	39 kph	307° true
Trackpoint	N56 20.401 E37 32.831	09/10/2005 12:07:14 	141 m			42 m	0:00:10	15 kph	308° true
Trackpoint	N56 20.433 E37 32.754	09/10/2005 12:07:26 	144 m			99 m	0:00:12	30 kph	307° true
Trackpoint	N56 20.522 E37 32.510	09/10/2005 12:07:48 	146 m			300 m	0:00:22	49 kph	303° true
Trackpoint	N56 20.595 E37 32.293	09/10/2005 12:08:06 	146 m			262 m	0:00:18	52 kph	301° true
Trackpoint	N56 20.599 E37 32.215	09/10/2005 12:08:12 	151 m			80 m	0:00:06	48 kph	275° true
Trackpoint	N56 20.578 E37 31.940	09/10/2005 12:08:32 	156 m			285 m	0:00:20	51 kph	262° true
Trackpoint	N56 20.563 E37 31.723	09/10/2005 12:09:05 	154 m			225 m	0:00:33	25 kph	263° true
Trackpoint	N56 20.540 E37 31.758	09/10/2005 12:09:15 	154 m			56 m	0:00:10	20 kph	140° true
Trackpoint	N56 20.463 E37 31.799	09/10/2005 12:09:30 	163 m			150 m	0:00:15	36 kph	163° true
Trackpoint	N56 20.357 E37 31.854	09/10/2005 12:10:09 	178 m			203 m	0:00:39	19 kph	164° true
Trackpoint	N56 20.540 E37 31.755	09/10/2005 12:10:48 	159 m			353 m	0:00:39	33 kph	343° true
Trackpoint	N56 20.575 E37 31.737	09/10/2005 12:10:57 	153 m			68 m	0:00:09	27 kph	344° true
Trackpoint	N56 20.616 E37 31.730	09/10/2005 12:11:04 	150 m			77 m	0:00:07	40 kph	354° true
Trackpoint	N56 20.717 E37 31.730	09/10/2005 12:11:22 	146 m			186 m	0:00:18	37 kph	0° true
Trackpoint	N56 20.738 E37 31.641	09/10/2005 12:11:54 	144 m			99 m	0:00:32	11 kph	293° true
Trackpoint	N56 20.781 E37 31.451	09/10/2005 12:12:48 	137 m			211 m	0:00:54	14 kph	292° true
Trackpoint	N56 20.792 E37 31.400	09/10/2005 12:12:58 	133 m			56 m	0:00:10	20 kph	292° true
Trackpoint	N56 20.819 E37 31.276	09/10/2005 12:13:11 	131 m			137 m	0:00:13	38 kph	291° true
Trackpoint	N56 20.846 E37 31.151	09/10/2005 12:13:55 	138 m			138 m	0:00:44	11 kph	291° true
Trackpoint	N56 21.039 E37 31.268	09/10/2005 12:14:32 	133 m			379 m	0:00:37	37 kph	19° true
Trackpoint	N56 21.160 E37 31.356	09/10/2005 12:15:24 	133 m			241 m	0:00:52	17 kph	22° true
Trackpoint	N56 21.275 E37 31.437	09/10/2005 12:15:45 	133 m			230 m	0:00:21	39 kph	21° true
Trackpoint	N56 21.389 E37 31.520	09/10/2005 12:16:06 	132 m			228 m	0:00:21	39 kph	22° true
Trackpoint	N56 21.504 E37 31.624	09/10/2005 12:16:26 	133 m			238 m	0:00:20	43 kph	27° true
Trackpoint	N56 21.521 E37 31.648	09/10/2005 12:16:50 	129 m			41 m	0:00:24	6 kph	38° true
Trackpoint	N56 21.632 E37 31.779	09/10/2005 12:17:31 	130 m			246 m	0:00:41	22 kph	33° true
Trackpoint	N56 21.641 E37 31.789	09/10/2005 12:17:33 	130 m			20 m	0:00:02	36 kph	30° true
Trackpoint	N56 21.691 E37 31.810	09/10/2005 12:17:56 	133 m			95 m	0:00:23	15 kph	13° true
Trackpoint	N56 21.769 E37 32.074	09/10/2005 12:18:29 	138 m			307 m	0:00:33	33 kph	62° true
Trackpoint	N56 21.835 E37 32.286	09/10/2005 12:18:44 	138 m			250 m	0:00:15	60 kph	61° true
Trackpoint	N56 21.972 E37 32.652	09/10/2005 12:19:09 	145 m			454 m	0:00:25	65 kph	56° true
Trackpoint	N56 22.038 E37 32.914	09/10/2005 12:19:28 	152 m			297 m	0:00:19	56 kph	65° true
Trackpoint	N56 22.092 E37 33.160	09/10/2005 12:19:42 	154 m			272 m	0:00:14	70 kph	68° true
Trackpoint	N56 22.142 E37 33.588	09/10/2005 12:20:02 	166 m			450 m	0:00:20	81 kph	78° true
Trackpoint	N56 22.204 E37 34.121	09/10/2005 12:20:29 	184 m			560 m	0:00:27	75 kph	78° true
Trackpoint	N56 22.265 E37 34.526	09/10/2005 12:20:50 	198 m			431 m	0:00:21	74 kph	75° true
